Question,Answer,Correctness,Lesson,Comment
Как называется официальный (основной) магазин приложений для устройств Android?,Google App Center,0,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
С чего рекомендуется начинать пункты? (укажите части речи),Пункты должны начинаться с числительного или частицы.,0,introduction_lesson_2,
Что такое универсальные чек-листы?,Можно использовать для тестирования всех возможных ПО.,0,introduction_lesson_2,
Назовите критерии качества ПО?,Качественное ПО определяется наличием красивых кнопок и анимации при клике.,0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 4/8 критериев. 
ответ считается частично верным если упомянуто не менее 6 критериев"
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"Под этим понимается, что в чек-листе указывается, какие проверки должны быть выполнены до выпуска новой версии программного обеспечения.",0,introduction_lesson_2,
Зачем нужны сервисы дистрибуции мобильных приложений?,Для удобства распространения тестовых билдов.,1,process_lection_1,
Что такое тестовые данные?,"Тестовые данные - это информация, которую тестировщики создают на ходу, не обращаясь к требованиям.",0,introduction_lesson_1,
Назовите цели тестирования.,"Цели тестирования — это те задачи, которыми вы будете заниматься практически на любом проекте: 
1) Оценка соответствия стандартам компании рабочих продуктов: требований, пользовательских историй, проектирования и кода.
2) Проверка выполнения требований. 
3) Поиск и предотвращение дефектов.",1,introduction_lesson_1,
Что такое окружение?,"Техника, которая находится у тестировщика.",0,introduction_lesson_1,
Что такое связнный чек лист?,"Связанный чек-лист - это просто список задач, который составлен хаотично, без какой-либо организации или структуры.",0,introduction_lesson_2,
Возможно ли исчерпывающее (полное тестирование)?,Скорее нет ,1,introduction_lesson_1,
Что такое нативные мобильные приложения?,"Нативные мобильные приложения - это приложения, которые создаются из натуральных ингредиентов, таких как фрукты и овощи.",0,process_lection_1,
Зачем мы используем App Store Connect?,Чтобы тестировать мобильные приложения,0,process_lection_3,
Что такое раннее тестирование?,Раннее тестирование - это когда вы начинаете тестировать программу только за неделю до её запуска.,0,introduction_lesson_1,
Что такое тестирование програмного обеспечения? Дайте полное определение.,"Это просто набор тестовых случаев, которые нужно выполнить перед тем, как выпустить программу.",0,introduction_lesson_1,
Что такое гибридные мобильные приложения?,"Гибридные приложения — это мобильные приложения, представляющие собой сочетание между нативными и веб-приложениями.",1,process_lection_1,
На основе какого документа составляют чек-листы?,"Они составляются на основе историй успеха из жизни тестировщика, чтобы вдохновиться перед началом работы.",0,introduction_lesson_2,
Возможно ли исчерпывающее (полное тестирование)?,К этому нужно стремиться,0,introduction_lesson_1,
Что такое чек-лист в тестировании?,"Это просто список событий, которые должны произойти во время тестирования, но без какой-либо организации или систематизации.",0,introduction_lesson_2,"Несмотря на то, что в лекции указаны примеры список дел и покупок, вопрос спрашивает про чек-листы в тестировании."
"Перечислите типичные виды, которые применяются в мобильном тестировании?","Типичные виды, которые применяются в мобильном тестировании:
1) Функциональное тестирование
2) Тестирование совместимости
3) Тестирование производительности
4) Стресс-тесты
5) Тестирование безопасности
6) Тестирование юзабилити
7) Тестирование локализации и глобализации
8) Тестирование установки и обновления",1,process_lection_1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Приведите 2 и более примеров SDK из лекции,Adobe Photoshop (для редактирования фотографий и создания графики),0,process_lection_3,"Правильным считается ответ, где предоставлено хотя бы 2 верных пункта"
На основе какого документа составляют чек-листы?,На основе готового приложения,0,introduction_lesson_2,
Зачем мы тестируем мобильные приложение по гайдлайнам/требованиям площадок?,"Чтобы приложения прошли проверки в мобильных сторах, мы должны выполнять требования площадок",1,process_lection_3,
Подходят ли эмулятор и симулятор для отладки приложения?,"Симуляторы лучше подходят для отладки, чем эмуляторы.",0,process_lection_2,Данные представлены в конспекте в виде таблицы
Опишите последовательность дейсвий при составлении чек-листа.,"Первым делом рассмотреть стандартные шаблоны чек-листов для аналогичных проектов, а затем подготовить колонки, учитывая специфику тестируемого продукта.",0,introduction_lesson_2,"ответ считается неверным если не упомянуто 4/5 пунктов. 
ответ считается частично верным если упомянуто не менее 4-х пунктов"
С чего рекомендуется начинать пункты? (укажите части речи),"При составлении пунктов важно придерживаться унифицированных форм: начинать их с существительного («Проверка», «Добавление», «Отправка») или неопределённой формы глагола («Проверить», «Добавить», «Отправить»). Так пункты будут понятными и однозначными. 
",1,introduction_lesson_2,
Зачем мы тестируем мобильные приложение по гайдлайнам/требованиям площадок?,"Мы тестируем мобильные приложения по гайдлайнам, чтобы добавить больше странностей и неожиданных поворотов в наши продукты.",0,process_lection_3,
Что такое эмулятор?,"Эмулятор - это программа, создающая эмоциональную связь между пользователем и искусственным интеллектом, чтобы сделать его более человечным.",0,process_lection_2,
Что такое чек-лист в тестировании?,"Чек-лист - это специальный вид карандаша, который используется тестировщиками для отметок на бумаге.",0,introduction_lesson_2,"Несмотря на то, что в лекции указаны примеры список дел и покупок, вопрос спрашивает про чек-листы в тестировании."
Что такое ферма устройств?,"Ферма устройств - это место, где содержатся и разводятся физические устройства, такие как компьютеры и смартфоны.",0,process_lection_2,
"К правилам составления чек-листа относится ""один пункт-одна операция"". Верно ли это утверждение?",Не знаю,0,introduction_lesson_2,
Проверки в чек-листе бывают с детализацией по версиям. Что имеется ввиду под этим?,"В чек-листе хранится история прохождения для разных версий ПО. Это полезно для отслеживания: в одних местах чаще возникают ошибки, а в других всё относительно стабильно.",1,introduction_lesson_2,
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Список самых популярных книг на Google Play,0,process_lection_3,
Подходят ли эмулятор и симулятор для отладки приложения?,"Да, оба подходят одинаково хорошо для отладки приложения.",0,process_lection_2,Данные представлены в конспекте в виде таблицы
Что такое чек-лист в тестировании?,"Чек-лист - это магический документ, который автоматически обнаруживает все ошибки в программе.",0,introduction_lesson_2,"Несмотря на то, что в лекции указаны примеры список дел и покупок, вопрос спрашивает про чек-листы в тестировании."
Как мы определяем доли рынка для разных мобильных платформ ?,"Проводим опросы среди наших сотрудников, чтобы узнать, какие у них мобильные устройства, и делаем выводы о долях рынка.",0,process_lection_1,
Подходят ли эмулятор и симулятор для отладки приложения?,Оба подходят для отладки.,0,process_lection_2,Данные представлены в конспекте в виде таблицы
Опишите последовательность дейсвий при составлении чек-листа.,"Начать с того, чтобы провести обзор кода или документации проекта, а затем приступить к определению структуры и содержания чек-листа.",0,introduction_lesson_2,"ответ считается неверным если не упомянуто 4/5 пунктов. 
ответ считается частично верным если упомянуто не менее 4-х пунктов"
Что такое матрица совместимости устройств?,"Матрица совместимости устройств - это список случайно выбранных устройств, на которых проводится тестирование без какой-либо системы или структуры.",0,process_lection_1,
Что означает статус blocked? Дайте развернутый ответ.,Это когда тестировщик попал в блокировку из-за проблем с доступом к ресурсам.,0,introduction_lesson_2,
Что такое гибридные мобильные приложения?,"Гибридные мобильные приложения - это приложения, которые могут менять свои функции в зависимости от того, кто их использует.",0,process_lection_1,
Что такое связнный чек лист?,"Это чек-лист, где каждая проверка зависит от всех предыдущих, и если хоть одна проверка не пройдена, весь чек-лист считается не пройденным.",0,introduction_lesson_2,
Что такое матрица совместимости устройств?,"Это документ, который содержит информацию только о совместимости устройств с определенными программами, но не о том, как проводить тестирование.",0,process_lection_1,
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.","Существует несколько предпосылок к тому, когда нам следует внедрять автоматизацию тестирования. 
1) Цикл тестирования приложения становится всё больше с каждым разом
2) Увеличение внутреннего парка мобильных устройств
3) Большое количество регрессионных тестов
4) Поддержка большого числа версий операционных систем
",1,process_lection_1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Как называется официальный магазин приложений для устройств Apple?,Google Play Store,0,process_lection_3,
Как называется официальный (основной) магазин приложений для устройств Android?,Google Play Store,1,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
"Перечислите типичные виды, которые применяются в мобильном тестировании?",Исследование влияния цветовой гаммы на эмоциональное состояние пользователя.,0,process_lection_1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Какую информацию хранит раздел App Bundle Explorer в Google Play Console?,Историю покупок в Google Play Store,0,process_lection_3,
Что такое эмулятор?,"Эмулятор - это человек, который воспроизводит действия и поведение реального пользователя для тестирования приложений.",0,process_lection_2,
Какие этапы включает в себя тестирование?,"Тестирование включает в себя следующие этапы: установка программы и удаление её, потому что она не работает.",0,introduction_lesson_1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Что такое Xcode?,"Xcode — это IDE (Integrated Development Environment, «интегрированная среда разработки»), созданная для разработки iOS-приложений.",1,process_lection_3,
Что такое TestFlight?,Место для публикации мобильного приложения,0,process_lection_3,
С чего рекомендуется начинать пункты? (укажите части речи),Пункты всегда начинаются с предлога или местоимения.,0,introduction_lesson_2,
"Перечислите типичные виды, которые применяются в мобильном тестировании?","Определение скорости, с которой мобильное устройство может вращаться на 360 градусов.",0,process_lection_1,"Если упомянуто менее 5/9 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Что такое Xcode?,"Это полный набор программного обеспечения, и с его помощью разработчики могут выполнять множество задач, таких как проектирование пользовательского интерфейса, разработка кода для приложений, компиляция и тестирование кода, а также проверка наличия ошибок в коде.",1,process_lection_3,
Зачем нужны сервисы дистрибуции мобильных приложений?,"Они используются для того, чтобы улучшить цветовую гамму приложений и сделать их более привлекательными для пользователей.",0,process_lection_1,
Что такое тестовые данные?,"Это просто данные, которые тестировщики придумывают сами, без каких-либо стандартов или требований.",0,introduction_lesson_1,
Какие бывают статусы в чек листе и что они означают?,"1) passed — успешно пройден
2) failed — кейс не прошел проверку
3) skipped — пропуск проверки
4 blocked — проверка заблокирована
5) untested — кейс еще не брали в работу",1,introduction_lesson_2,"
ответ считается частично верным если упомянуто не менее 4-х пунктов

можно предложить боту в таком случае уточнить дополнительную информацию у студента"
Какие этапы включает в себя тестирование?,"Этапы тестирования: собрать команду из любителей видеоигр, дать им пять минут, чтобы понять, что программа не игра, и затем переключиться на другую задачу.",0,introduction_lesson_1,ответ считается неверным если не упомянуто 3/6 критериев. ответ считается частично верным если упомянуто не менее 5-ти критериев
Что такое тестирование програмного обеспечения? Дайте полное определение.,Тестирование программного обеспечения - это бесполезная трата времени и ресурсов.,0,introduction_lesson_1,
Что такое гибридные мобильные приложения?,"Это приложения для конкретной платформы. Разрабатываются с помощью SDK, инструментов разработки, датчиков и функций конкретных платформ. 
",0,process_lection_1,
Что такое крешлоги?,"Крэшлоги — это данные о том, что происходило с приложением в момент сбоя, а также данные о разделе приложения, в котором произошёл сбой.",1,process_lection_1,
С чего рекомендуется начинать пункты? (укажите части речи),С существительного,0,introduction_lesson_2,
Что такое эмулятор?,"Эмулятор - это устройство, которое используется для эмуляции погодных условий внутри помещения.",0,process_lection_2,
Как называется официальный (основной) магазин приложений для устройств Android?,Android Market,0,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
Что такое ферма устройств?,"Это место, где производят выращивание овощей и фруктов с использованием специальных агротехнологий.",0,process_lection_2,
На чем может проводиться тестирование мобильных приложений?,Тестирование мобильных приложений может проводиться на компьютерах с установленными эмуляторами и симуляторами.,0,process_lection_1,Ответ считается невеерным если не перечислен хотя бы один пункт. Бот должен предложить перечислить оставшиеся пункты.
Назовите цели тестирования.,"Цели тестирования:
1) определить, насколько ПО соответствует заявленным требованиям; 
2) выявить дефекты, то есть отклонения ПО от требований.
",1,introduction_lesson_1,
Что такое универсальные чек-листы?,Для универсального чек-листа составляется абстрактный список проверок.,1,introduction_lesson_2,
Как мы определяем доли рынка для разных мобильных платформ ?,Определять доли рынка для разных мобильных платформ можно по количеству проданных на рынке ноутбуков,0,process_lection_1,
Подходят ли эмулятор и симулятор для отладки приложения?,Эмулятор больше подходит для отладки. Симулятор в меньшей степени подходит для отладки.,1,process_lection_2,Данные представлены в конспекте в виде таблицы
На основе какого документа составляют чек-листы?,"Чек-листы создаются на основе прошлых ошибок, чтобы каждый раз повторять одни и те же тесты.",0,introduction_lesson_2,
На основе какого документа составляют чек-листы?,На основе здравого смысла,0,introduction_lesson_2,
Что такое гибридные мобильные приложения?,"Это приложения, которые предназначены для использования только в экстремальных условиях, таких как горные вершины или пустынные районы.",0,process_lection_1,
Как называется официальный (основной) магазин приложений для устройств Android?,Play App Store,0,process_lection_3,Если студенты отвечают Samsung Galaxy Store или Amazon Appstore - боту следует сказать что нас интересует в этом вопросе самый популярный
Что такое симулятор?,"Симулятор - это специализированная камера, используемая для создания трехмерных моделей объектов.",0,process_lection_2,
Что такое Xcode?,Это один из самых популярных инструментов для создания приложений.,1,process_lection_3,
На основе какого документа составляют чек-листы?,"Их составляют на основе рецептов бабушки, потому что так было всегда, и это работает.",0,introduction_lesson_2,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",эмуляторах,0,process_lection_1,
Что такое архитектура набора команд?,Код приложения,0,process_lection_2,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",симуляторах,0,process_lection_1,
Возможно ли исчерпывающее (полное тестирование)?,Возможно,0,introduction_lesson_1,
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,"Во-первых, это может быть обязательным требованием для работы с платформой. Например, наша команда решила, что мы будем собирать статистику по нашему проекту, используя Adjust. Для того чтобы подключить этот сервис, нам обязательно нужно интегрировать их SDK. Только после этого платформа может понять, какие данные и по каким приложениям собирать.
Во-вторых, это облегчает и ускоряет процесс разработки и тестирования. Представим, что у нас в приложении есть встроенные покупки. И вместо того, чтобы самостоятельно разрабатывать систему, которая будет обрабатывать и принимать платежи (а это довольно объёмная и сложная задача), мы интегрируем SDK платформы, на которой выпускаем приложение (пусть будет Google Play и App Store). Таким образом, мы будем использовать инструмент, который создавался сторонней компанией, уже протестирован и, что немаловажно, — выпускает обновления.
В-третьих, у крупных платформ есть саппорт. К нему разработчики могут обратиться, когда возникают какие-то сложности с интеграцией, или если необходимые функции не работают как надо.",1,process_lection_3,Правильным будет считаться хотя бы 1 пункт.
Что такое нативные мобильные приложения?,"Нативные мобильные приложения - это приложения, которые могут быть установлены только на одно устройство и не могут быть перенесены на другие.",0,process_lection_1,
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,"Это просто аббревиатура, которая означает ""Квалифицированный Анализ"" и ничего не связано с тестированием.",0,introduction_lesson_1,
На основе какого документа составляют чек-листы?,"Чек-листы составляются на основе погоды во время тестирования, чтобы узнать, можно ли в этот день проводить тестирование.",0,introduction_lesson_2,
Что такое тестовые данные?,"По сути, полигон для испытаний: например, сервер, мобильный телефон и так далее. Настраивается в соответствии с требованиями тестируемого приложения. 
",0,introduction_lesson_1,
Что такое связнный чек лист?,"Это чек-лист, где последовательность проверок не имеет значения, и можно выполнять их в любом порядке.",0,introduction_lesson_2,
Что такое окружение?,"Это, когда вы окружены разными программами на своем компьютере.",0,introduction_lesson_1,
Что такое гибридные мобильные приложения?,Приложения которые разрабатываются тестировщиками и разработчиками вместе.,0,process_lection_1,
Как мы определяем доли рынка для разных мобильных платформ ?,Прикидываем какими телефонами пользуются люди.,0,process_lection_1,
"К правилам составления чек-листа относится ""один пункт-одна операция"". Верно ли это утверждение?",Нет,0,introduction_lesson_2,
Что такое тестирование програмного обеспечения? Дайте полное определение.,Это проверка наличия ошибок в приложении.,0,introduction_lesson_1,
Возможно ли исчерпывающее (полное тестирование)?,Да,0,introduction_lesson_1,
Что такое тестовые данные?,"Это программы, которые быстро создают тестовые данные. Их целесообразно использовать в случаях, когда:",0,introduction_lesson_1,
Что означает статус blocked? Дайте развернутый ответ.,"blocked — проверка заблокирована поломанным функционалом, от которого прямо или косвенно зависит тестируемый.",1,introduction_lesson_2,
Возможно ли исчерпывающее (полное тестирование)?,"Полное тестирование с использованием всех комбинаций вводов и предусловий физически невыполнимо, кроме тривиальных случаев. Вместо исчерпывающего тестирования используется анализ рисков и расстановка приоритетов, чтобы точнее сфокусировать усилия по тестированию.
",1,introduction_lesson_1,
Что такое гибридные мобильные приложения?,"Гибридные мобильные приложения - это приложения, которые могут менять свою форму в зависимости от фазы луны.",0,process_lection_1,
Что такое крешлоги?,"Крэшлоги - это новый вид игрового контента, который добавляет в игру элементы неожиданности и волнения.",0,process_lection_1,
Что означает статус blocked? Дайте развернутый ответ.,Это когда проверка заблокирована из-за плохой погоды или других внешних обстоятельств.,0,introduction_lesson_2,
Назовите критерии качества ПО?,"Критерии качества ПО: цветной интерфейс, много анимации и красивые шрифты.",0,introduction_lesson_1," 
 	
ответ считается неверным если не упомянуто 4/8 критериев. 
ответ считается частично верным если упомянуто не менее 6 критериев"
Что такое чек-лист в тестировании?,Это список дел,0,introduction_lesson_2,"Несмотря на то, что в лекции указаны примеры список дел и покупок, вопрос спрашивает про чек-листы в тестировании."
"Какие существуют предпосылки к тому, что там следует внедрить автоматизацию? Перечислите 4 тезиса.",Недостаток ресурсов для найма большого количества тестировщиков.,0,process_lection_1,"Если упомянуто менее 3/4 видов тестирования - это частично верный ответ. 

В таком случае бот может попросить студента дописать список."
Что такое универсальные чек-листы?,"Универсальные чек-листы подходят для тестирования проектов одного типа.
",1,introduction_lesson_2,
Что такое матрица совместимости устройств?,"Это таблица, где перечислены все возможные устройства, с которыми работает разработчик, без дополнительной информации о том, как их тестировать.",0,process_lection_1,
Назовите цели тестирования.,"Тестирование нужно для того, чтобы просто провести как можно больше тестов.",0,introduction_lesson_1,
Что подразумевает под собой аббревиатура QA (Quality Assurance) ?,"QA (Quality Assurance) - это квантовая архитектура, которая используется для обеспечения качества программного обеспечения.",0,introduction_lesson_1,
Что такое Xcode?,Xcode - это приложение для просмотра видеофайлов.,0,process_lection_3,
"На чем проводить тестирование важнее всего? (реальных девайсах, эмуляторах, симуляторах или моб фермах)",мобильных фермах,0,process_lection_1,
Зачем мы тестируем мобильные приложение по гайдлайнам/требованиям площадок?,"Это делается просто потому, что нам скучно без каких-либо правил и ограничений.",0,process_lection_3,
Что такое раннее тестирование?,Когда тестировщик с раннего утра начинает тестировать продукт чтобы успеть сделать больше дел.,0,introduction_lesson_1,
Что такое SDK?,"SDK означает ""Служба дистрибуции котят"", предоставляемая приютами для бездомных животных.",0,process_lection_3,
